"","state","policy_label","tech_clean","naics_description","mean_lcoh_delta","total_emissions","elec_to_ng_ratio_low","elec_to_ng_ratio_high"
"142","IL","Capex: -100%, Elec: -0%","Scenario1","Animal (except Poultry) Slaughtering",15.4881194679294,188713.255002776,2.94622214222868,4.60646927226498
"143","IL","Capex: -50%, Elec: -0%","Scenario1","Animal (except Poultry) Slaughtering",15.5421220534337,188713.255002776,2.94622214222868,4.60646927226498
"144","IL","Capex: -50%, Elec: -50%","Scenario1","Animal (except Poultry) Slaughtering",3.63406668971921,188713.255002776,2.94622214222868,4.60646927226498
"145","IL","No Policy","Scenario1","Animal (except Poultry) Slaughtering",15.5961246389381,188713.255002776,2.94622214222868,4.60646927226498
"146","MN","Capex: -0%, Elec: -50%","Scenario2","Wet Corn Milling and Starch Manufacturing",2.84573261992721,186524.331553448,4.245701207139,5.09644912743735
"147","MN","Capex: -100%, Elec: -0%","Scenario2","Wet Corn Milling and Starch Manufacturing",9.41247298342896,186524.331553448,4.245701207139,5.09644912743735
"148","MN","Capex: -50%, Elec: -0%","Scenario2","Wet Corn Milling and Starch Manufacturing",10.3242049464894,186524.331553448,4.245701207139,5.09644912743735
"149","MN","Capex: -50%, Elec: -50%","Scenario2","Wet Corn Milling and Starch Manufacturing",1.93400065686677,186524.331553448,4.245701207139,5.09644912743735
"150","MN","No Policy","Scenario2","Wet Corn Milling and Starch Manufacturing",11.2359369095498,186524.331553448,4.245701207139,5.09644912743735
"151","CO","Capex: -0%, Elec: -50%","Scenario1","Cheese Manufacturing",2.78707930524742,180612.886263658,3.2164556691952,3.47075961684021
"152","CO","Capex: -100%, Elec: -0%","Scenario1","Cheese Manufacturing",14.9153268208514,180612.886263658,3.2164556691952,3.47075961684021
"153","CO","Capex: -50%, Elec: -0%","Scenario1","Cheese Manufacturing",14.9693294063557,180612.886263658,3.2164556691952,3.47075961684021
"154","CO","Capex: -50%, Elec: -50%","Scenario1","Cheese Manufacturing",2.73307671974307,180612.886263658,3.2164556691952,3.47075961684021
